Team #,Wins,Losses,Ties,CS,OCS,PD
1009,4,4,0,19,63.5,+37
1055,6,2,0,16.5,76,+15
1056,6,2,0,15.5,69.5,+18
1098,4,4,0,19,61,+6
1099,3,4,1,14.5,57.5,+1
1133,4,4,0,14,66.5,+2
1157,4,4,0,21,64.5,-9
1158,2,6,0,12,60.5,-20
1169,6,2,0,16,67.5,+25
1199,0,8,0,11.5,54.5,-114
1212,4,4,0,14,55.5,-4
1311,6,2,0,15.5,68.5,+30
1321,5,3,0,18.5,60,+12
1322,3,5,0,15,65,-7
1419,2,5,1,14,64,-21
1439,6,2,0,17.5,73.5,+44
1440,6,2,0,14.5,67,+70
1465,4,4,0,15,59,-2
1525,3,4,1,20.5,62.5,+2
1526,2,6,0,14,55,-35
1541,3,5,0,18,65,-34
1542,5,3,0,19,70,+12
1549,2,5,1,15,61,-27
1550,4,4,0,14.5,69,-1
