Team #,Wins,Losses,Ties,CS,OCS,PD
1004,3,4,1,17.5,63,+3
1037,3,5,0,15,64,-4
1093,6,2,0,13,74,+16
1094,4,3,1,18,62,+16
1159,2,6,0,20.5,52,-50
1160,3,5,0,17.5,68,-36
1181,3,5,0,14.5,58.5,-20
1214,4,3,1,12.5,73,+14
1231,6,2,0,16.5,71,+41
1232,3,4,1,16.5,60,-5
1236,4,4,0,15.5,57,+5
1237,3,5,0,22.5,57.5,-12
1425,8,0,0,13.5,74.5,+79
1426,3,4,1,15.5,62.5,+7
1545,3,4,1,18.5,69,-23
1596,5,3,0,16.5,59,+48
1597,6,2,0,15.5,75.5,+11
1620,4,3,1,15.5,70.5,-4
1621,1,7,0,12.5,58.5,-68
1624,3,5,0,20,62,+5
1625,3,4,1,17,61,+5
1634,4,4,0,14.5,57,-14
1637,6,2,0,12.5,65.5,+13
1665,2,6,0,13,61,-27
