Team #,Wins,Losses,Ties,CS,OCS,PD
1022,3,5,0,20,60.5,-27
1024,5,3,0,15,70,+24
1025,3,5,0,17,57.5,-18
1034,7,1,0,13,75.5,+75
1035,5,2,1,14.5,68,+14
1071,2,6,0,11.5,63.5,-28
1090,3,5,0,10,60,-19
1109,6,2,0,20,63.5,+56
1115,2,6,0,17,63.5,-46
1211,3,5,0,19,56,-24
1216,2,5,1,15.5,57,-26
1217,5,3,0,17.5,64,-4
1246,6,2,0,13,69,+52
1247,5,3,0,15,71,+35
1401,7,1,0,14.5,72,+69
1402,3,5,0,19,52.5,-64
1433,3,5,0,17.5,66,-15
1443,2,6,0,20,63,-38
1455,4,4,0,16,69,-79
1515,1,7,0,16.5,54.5,-46
1523,4,4,0,15,63.5,+7
1561,4,4,0,17,64.5,-22
1578,4,4,0,17.5,65,+51
1579,6,2,0,13,67,+73
