Team #,Wins,Losses,Ties,CS,OCS,PD
1040,8,0,0,13.5,79,+55
1041,7,1,0,14,75,+50
1151,5,1,2,11.5,68,+73
1152,3,5,0,18.5,61.5,+41
1218,4,4,0,21,57.5,+11
1221,3,5,0,18.5,57.5,-13
1321,3,4,1,19,61.5,-7
1322,3,4,1,15.5,63.5,+2
1336,1,7,0,18.5,55,-93
1414,6,2,0,16,72,+29
1415,2,5,1,23,53.5,-10
1420,0,8,0,22,50,-227
1491,4,3,1,11.5,65.5,+70
1516,4,4,0,17,59.5,+40
1517,3,5,0,18,63.5,+17
1536,2,6,0,22,50,-25
1576,4,4,0,12,74.5,+19
1616,2,6,0,12.5,61.5,-175
1617,6,2,0,14.5,71.5,+68
1618,1,7,0,14.5,56,-68
1641,7,1,0,13,75,+63
1787,7,1,0,6,77,+80
