Team #,Wins,Losses,Ties,CS,OCS,PD
1003,7,1,0,14,74,+91
1004,6,2,0,11.5,75,+21
1046,2,5,1,18,61,-21
1047,2,6,0,23.5,55,-105
1058,3,5,0,19.5,58.5,-68
1094,7,1,0,18,72.5,+117
1095,2,6,0,20,60.5,-48
1178,6,2,0,15.5,68,+14
1179,3,5,0,9,69.5,-8
1294,2,5,1,18.5,54.5,+7
1308,0,8,0,11.5,57.5,-127
1341,2,5,1,17,59.5,-65
1347,7,0,1,16,68,+89
1348,7,1,0,14,74.5,+57
1386,2,6,0,20,50.5,+16
1387,6,1,1,14,76.5,+65
1390,2,6,0,21.5,63,-31
1434,7,1,0,13.5,71,+162
1435,5,2,1,13.5,69.5,+58
1493,0,6,2,14,59.5,-82
1526,3,5,0,17,68,-10
1539,4,4,0,10,60.5,+14
1590,2,6,0,20,53.5,-170
1605,5,3,0,14.5,56,+24
