Team #,Wins,Losses,Ties,CS,OCS,PD
1060,8,0,0,14,71.5,+145
1061,4,4,0,15,72,+24
1084,2,6,0,19,51.5,-50
1085,5,3,0,15.5,74.5,-4
1098,4,4,0,18,53.5,-25
1200,7,1,0,14.5,77.5,+114
1203,6,2,0,16,62,+41
1281,2,6,0,14.5,57,-10
1282,2,6,0,13,60.5,-56
1293,0,8,0,10,64.5,-66
1299,7,1,0,16.5,65,+115
1300,6,1,1,15,73,+52
1372,5,3,0,16,62.5,-2
1373,4,4,0,13,70.5,+6
1377,4,3,1,15.5,63.5,-16
1397,5,3,0,20.5,59.5,+11
1409,2,6,0,19.5,59.5,-98
1430,2,4,2,17,61.5,-55
1494,3,5,0,13.5,63,-14
1495,2,5,1,15,66.5,-35
1496,3,5,0,18,60.5,-45
1563,5,3,0,14,71,+24
1564,3,4,1,22.5,58,-19
1643,2,6,0,18.5,57.5,-37
