Team #,Wins,Losses,Ties,CS,OCS,PD
1092,4,4,0,16,63,+22
1233,8,0,0,12,78,+78
1234,4,3,1,14.5,71,+77
1267,2,6,0,17.5,50.5,-61
1317,6,2,0,13,75,+126
1318,4,4,0,20.5,60.5,+4
1358,6,2,0,12,80,+35
1359,4,4,0,17,64,+21
1376,4,4,0,21,55,+11
1428,5,3,0,17,81,+26
1430,0,8,0,18,50.5,-69
1431,4,4,0,14.5,70,-30
1471,6,1,1,15.5,73,+72
1472,6,2,0,21,59,+46
1501,4,4,0,20.5,54,-15
1502,6,2,0,13,71.5,+97
1509,4,4,0,16,71.5,-7
1537,3,5,0,23.5,60.5,-25
1538,3,5,0,16,66.5,-44
1584,1,7,0,10,59,-109
1591,3,5,0,14,62,-13
1623,1,7,0,16,50,-206
1662,2,6,0,17.5,52.5,-63
1787,5,3,0,8,58,+27
