Team #,Wins,Losses,Ties,CS,OCS,PD
1008,6,2,0,16,69.5,+17
1032,5,3,0,15,63.5,+70
1033,3,5,0,15.5,67.5,+6
1150,6,2,0,16,64.5,+40
1152,6,2,0,11,70,+27
1155,7,1,0,17,67.5,+47
1240,2,5,1,18,61,-21
1272,1,7,0,21,54.5,-55
1279,5,3,0,20,71,+28
1280,6,2,0,18,66.5,+13
1307,3,4,1,16,61.5,-49
1346,3,5,0,17,71.5,-37
1352,0,8,0,14.5,46.5,-67
1392,2,5,1,12.5,66.5,-40
1393,4,4,0,12,70.5,-9
1440,2,6,0,11,64,-96
1446,5,3,0,19,64.5,-1
1447,0,7,1,14.5,63,-83
1469,4,4,0,14.5,59,+49
1470,4,4,0,17,58,+16
1523,8,0,0,14.5,72,+116
1524,6,2,0,17.5,58,+26
1617,3,5,0,18.5,63.5,+11
1619,3,5,0,18,62,-8
