Team #,Wins,Losses,Ties,CS,OCS,PD
1042,6,2,0,17,68.5,+33
1043,3,5,0,16.5,60.5,-25
1053,8,0,0,20.5,66.5,+94
1054,8,0,0,16,74.5,+69
1072,6,2,0,19,66,+27
1073,4,4,0,10,68.5,+19
1097,4,4,0,22,58,+42
1099,3,5,0,20,58.5,-8
1164,5,2,1,15.5,62,+54
1175,1,7,0,16.5,56.5,-61
1187,6,2,0,17,75.5,+55
1188,4,4,0,12,69.5,-86
1193,2,6,0,19,60,-16
1194,2,4,2,18.5,65.5,-39
1246,1,7,0,18,49.5,-38
1264,3,5,0,17,61.5,+22
1320,1,7,0,11,66.5,-140
1355,4,4,0,16,68,+17
1357,5,3,0,18,62,+40
1398,2,6,0,16.5,55,-80
1406,4,3,1,12.5,67,+25
1407,7,1,0,11,77,+39
1478,5,3,0,13,67,+3
1479,4,4,0,14,62.5,+16
1578,2,4,2,17,63,-7
1787,1,7,0,12.5,55,-55
