Team #,Wins,Losses,Ties,CS,OCS,PD
1013,2,6,0,14,71.5,-26
1055,7,1,0,15,67,+113
1056,6,2,0,12.5,73,+86
1128,6,2,0,14,74.5,+56
1129,5,3,0,13,75,+27
1143,6,1,1,11.5,67,+81
1144,3,5,0,22,55,-16
1151,4,4,0,18.5,57.5,+15
1208,0,8,0,13,37.5,-101
1217,2,6,0,17,55,-63
1405,7,1,0,14,64,+64
1434,2,6,0,19.5,59.5,-41
1511,2,6,0,20,54.5,-74
1512,5,2,1,16.5,58,+10
1533,2,6,0,14.5,66.5,-108
1543,7,1,0,19,54,+58
1546,2,6,0,16.5,52.5,-21
1581,3,5,0,17,65.5,-8
1582,6,2,0,16,65.5,+34
1618,4,4,0,14,69.5,+16
1629,0,8,0,15.5,50,-157
1787,4,4,0,7,47.5,+51
