Team #,Wins,Losses,Ties,CS,OCS,PD
1004,5,2,1,19.5,60.5,+93
1005,3,5,0,21.5,65.5,-18
1031,1,6,1,18.5,60.5,-82
1087,8,0,0,14,74,+120
1100,7,0,1,11.5,74.5,+109
1101,5,2,1,19,75.5,+18
1105,3,4,1,21,50.5,-27
1106,5,3,0,13.5,63,+15
1108,5,2,1,19,67.5,+29
1109,3,5,0,18.5,54,-18
1127,3,5,0,15,64,-36
1132,2,6,0,13.5,56.5,-76
1224,1,6,1,10,71.5,-29
1338,5,3,0,15.5,65.5,+13
1339,3,4,1,15,69,-81
1343,2,6,0,16,50.5,-37
1367,7,1,0,16.5,72.5,+131
1368,5,2,1,11.5,70.5,+90
1408,6,2,0,15,74.5,+23
1409,6,2,0,16,63,+2
1410,0,7,1,10,65,-60
1518,1,5,2,17,57.5,-48
1519,3,5,0,17,60.5,-18
1663,1,7,0,20,50,-113
