Team #,Wins,Losses,Ties,CS,OCS,PD
1051,4,4,0,14,70,-11
1059,1,7,0,24.5,47,-46
1083,4,3,1,14.5,71,+9
1084,3,4,1,18,63.5,+8
1102,7,1,0,11,85,+94
1104,4,3,1,16.5,71.5,+8
1139,2,6,0,16,67.5,-88
1140,3,5,0,10,67.5,-50
1148,6,2,0,12.5,72,+36
1149,5,3,0,11,80,+30
1162,2,6,0,19.5,51,-81
1176,4,4,0,15,65.5,+19
1177,4,4,0,19.5,60.5,-32
1252,2,6,0,19.5,52,-29
1253,0,8,0,21,38,-169
1265,4,4,0,21,59.5,0
1266,4,4,0,17,62,-11
1281,2,6,0,20,52,-28
1374,4,4,0,22,56.5,+3
1411,2,4,2,19,51.5,+7
1412,3,5,0,14.5,61,-36
1513,8,0,0,9,81.5,+145
1516,8,0,0,10.5,83.5,+92
1557,4,3,1,15,70,+45
1558,6,2,0,17.5,59.5,+49
1787,5,3,0,8,65,+36
