Team #,Wins,Losses,Ties,CS,OCS,PD
1042,4,4,0,18.5,65.5,+60
1043,4,4,0,15,70.5,+20
1080,5,3,0,17.5,71.5,+24
1081,5,3,0,19.5,63.5,+29
1094,5,2,1,21,66,+30
1137,6,2,0,16,55,-86
1182,2,6,0,18,56,-11
1201,2,5,1,16.5,72,+70
1212,7,0,1,16.5,75.5,+75
1227,7,1,0,17,66,+50
1228,5,3,0,15,72,+6
1269,5,3,0,8,65,-17
1350,2,6,0,13.5,61.5,+25
1370,4,4,0,12,54,-60
1427,1,7,0,16.5,68.5,+27
1440,4,2,2,19,56.5,-10
1441,2,5,1,12,56.5,-169
1447,1,7,0,17,65.5,-5
1524,4,3,1,20,64.5,+27
1558,5,2,1,16.5,61.5,-60
1606,4,4,0,12,58.5,-78
1610,2,6,0,13.5,59,-56
1640,2,6,0,18,61,+9
