Team #,Wins,Losses,Ties,CS,OCS,PD
1039,4,3,1,16.5,58.5,+12
1040,3,5,0,19.5,57,-66
1054,2,6,0,14.5,57.5,-3
1067,4,3,1,17.5,65,+10
1085,5,3,0,15,75,+14
1089,3,5,0,10.5,66.5,-6
1113,3,3,2,22,61,-21
1181,5,2,1,14.5,78,+21
1219,5,2,1,16.5,59,+41
1241,2,6,0,11.5,58,-45
1270,3,4,1,14,70.5,-32
1285,3,5,0,20,57,-39
1287,3,4,1,12.5,70.5,-28
1303,7,1,0,13,68,+54
1305,4,4,0,20,61,-11
1438,3,5,0,12.5,62.5,-13
1451,2,4,2,18.5,59,-17
1497,7,0,1,17,66.5,+22
1499,5,3,0,18.5,59,-10
1514,3,3,2,18.5,65,+71
1515,5,2,1,17,70.5,+53
1528,6,2,0,13.5,60.5,-60
1605,2,6,0,17,50,-66
