Team #,Wins,Losses,Ties,CS,OCS,PD
1114,5,3,0,14,68.5,+14
1115,0,8,0,15.5,58,-135
1121,5,2,1,15,68.5,+54
1122,3,5,0,20,55,+2
1126,3,5,0,12,71.5,-62
1176,2,6,0,18.5,59.5,-70
1183,5,3,0,15,70.5,+30
1184,4,3,1,16,65.5,+7
1230,3,5,0,18.5,62,+25
1231,6,2,0,14,74.5,+72
1232,8,0,0,16,76.5,+76
1234,6,1,1,19,61.5,+10
1300,5,3,0,17.5,66.5,+47
1302,6,2,0,16,66.5,+68
1309,4,3,1,19.5,59.5,-19
1391,5,1,2,19,57.5,-113
1392,3,5,0,18.5,60,-25
1402,2,6,0,12,55,-69
1467,3,5,0,9.5,61.5,+14
1511,0,8,0,22,52,-235
1541,4,4,0,15,50.5,-131
1582,1,7,0,20,61,+46
1608,1,7,0,21,61.5,+10
1629,6,2,0,18,66,-34
1630,4,2,2,8.5,61,-20
