Team #,Wins,Losses,Ties,CS,OCS,PD
1037,5,3,0,16,64,+35
1070,7,1,0,15,72.5,+45
1072,4,4,0,13.5,69,-2
1107,5,1,2,16.5,77,+18
1108,4,3,1,17,68.5,-16
1146,4,4,0,20.5,62.5,+2
1147,4,4,0,17.5,65.5,+54
1153,2,5,1,18,57,+10
1167,6,2,0,18,72.5,+51
1168,6,1,1,17,57,-3
1224,4,4,0,15.5,63,+59
1331,5,2,1,10.5,68.5,-10
1332,4,4,0,15,69,+79
1338,6,0,2,14,60,+1
1339,3,5,0,16,60,-75
1347,3,5,0,18.5,60,-95
1406,1,7,0,17.5,70.5,+72
1538,5,2,1,21.5,61.5,+29
1539,5,3,0,12.5,68,+63
1556,7,1,0,20,50.5,-30
1578,2,6,0,18,69,+72
1585,5,3,0,13,69.5,+32
1586,6,2,0,17,61.5,-66
1589,2,6,0,18.5,56,-89
1599,1,7,0,13,58.5,-80
1600,1,7,0,23,55.5,-12
1613,3,4,1,12,54,-130
1661,2,6,0,9.5,62.5,-167
1668,0,8,0,12.5,56.5,+27
