Team #,Wins,Losses,Ties,CS,OCS,PD
1098,3,5,0,12,54,0
1221,4,4,0,14,68,-10
1222,5,3,0,15.5,79,-7
1235,6,2,0,21,59,+94
1236,3,5,0,18,51.5,-13
1249,2,6,0,16,60.5,-39
1262,1,6,1,21.5,56.5,-108
1289,5,3,0,13.5,75,+13
1290,4,4,0,18,66.5,-29
1345,3,5,0,15,74,-40
1356,1,7,0,14.5,60.5,-136
1394,2,6,0,17,52.5,-60
1398,1,6,1,12.5,56.5,-47
1399,3,5,0,19,65,0
1444,8,0,0,15,73,+226
1445,5,2,1,19.5,65.5,+14
1470,5,3,0,17.5,56,+26
1479,6,1,1,13.5,72.5,+132
1480,6,2,0,11.5,75,+113
1517,6,1,1,13.5,68.5,+113
1518,7,0,1,15.5,70,+55
1567,3,4,1,12.5,73,-97
1574,1,7,0,20.5,47,-105
1604,4,4,0,21.5,62.5,+32
1612,2,6,0,18.5,56,-93
1787,4,3,1,9.5,66.5,-34
