Team #,Wins,Losses,Ties,CS,OCS,PD
1017,6,2,0,14,63,+53
1018,6,1,1,15.5,74,+55
1045,3,5,0,17,63,+20
1046,4,4,0,21.5,60,-6
1116,3,5,0,17,66,+42
1198,7,1,0,16,75.5,+60
1276,6,2,0,15,71.5,+9
1277,2,6,0,14,55.5,-44
1316,4,4,0,11,60,-5
1317,2,6,0,17.5,61.5,-65
1360,0,8,0,14,61,-115
1361,5,3,0,17,60.5,-2
1381,4,4,0,14,58,+25
1382,4,3,1,17.5,61,+43
1389,6,2,0,18,61,+91
1390,3,5,0,14.5,71,+8
1409,8,0,0,15.5,71,+52
1410,6,2,0,17.5,62,+52
1432,5,3,0,18,62,+10
1433,4,4,0,13,56,-73
1495,2,6,0,13,61.5,-97
1594,1,7,0,14,73.5,-2
1647,5,3,0,15.5,65.5,-144
1672,2,6,0,19,62.5,-52
1674,3,5,0,20,62,-27
