Team #,Wins,Losses,Ties,CS,OCS,PD
1026,3,5,0,18,64,-12
1120,5,2,1,17.5,71.5,+40
1246,0,8,0,19.5,52,-147
1247,4,4,0,16.5,73,+2
1251,8,0,0,14.5,71,+60
1301,6,2,0,14.5,73,+53
1322,7,1,0,15.5,64.5,+7
1324,3,5,0,19,64,-40
1359,3,4,1,14.5,58.5,-79
1396,3,5,0,15.5,65,-19
1442,2,6,0,19.5,63,-63
1443,2,6,0,15.5,61,+21
1522,5,3,0,20,61,-21
1523,2,5,1,14,71,+84
1547,5,2,1,14,61.5,-61
1548,2,5,1,11,72,-99
1559,3,5,0,11,61.5,+8
1560,3,4,1,15.5,59.5,+22
1601,5,2,1,17,65.5,+72
1616,6,2,0,15,62.5,+39
1617,6,2,0,16.5,53,-171
1634,0,8,0,18,59,+66
1645,5,2,1,20,61,-8
