Team #,Wins,Losses,Ties,CS,OCS,PD
1005,3,5,0,13.5,64.5,-25
1006,2,6,0,16.5,59.5,-73
1029,3,5,0,12,61,+27
1032,6,1,1,18,71,+43
1033,1,6,1,11,60,-38
1100,4,4,0,19.5,62,+18
1101,3,5,0,13,59.5,-47
1125,3,5,0,22,62.5,-25
1130,3,4,1,12.5,61.5,+12
1142,7,1,0,14,74,+77
1143,4,4,0,18.5,65,-13
1179,3,4,1,14.5,54.5,-11
1217,4,4,0,18,70,-11
1304,5,3,0,17.5,73,-4
1314,3,4,1,19.5,64,+19
1315,4,4,0,17,62.5,-13
1414,5,3,0,19,61,+52
1415,4,4,0,16.5,56,-16
1428,1,5,2,14,61,-91
1468,3,4,1,17,67,-28
1469,1,6,1,12.5,51.5,-56
1512,6,1,1,16,72.5,+56
1569,6,2,0,14.5,67.5,+68
1570,7,1,0,17.5,75,+79
