Team #,Wins,Losses,Ties,CS,OCS,PD
1071,2,6,0,19.5,57,-74
1145,7,1,0,16.5,69,+18
1148,3,4,1,14,70,+10
1151,4,3,1,15.5,62.5,+28
1152,4,3,1,17.5,63,-21
1154,3,5,0,19.5,61.5,+40
1169,6,2,0,20,62.5,+18
1170,6,2,0,15.5,72.5,+36
1206,7,1,0,14,66.5,+27
1209,5,3,0,17,64,+2
1225,3,5,0,12.5,69,+40
1226,6,2,0,17,57.5,-100
1263,2,5,1,16,64.5,+11
1363,3,3,2,13,54.5,-59
1365,2,6,0,18.5,62,-17
1435,2,4,2,11.5,61,-58
1436,1,7,0,19.5,66,+33
1554,4,4,0,15,72.5,+26
1555,5,2,1,16,71.5,+33
1572,5,2,1,17.5,62,-27
1573,3,5,0,17.5,61.5,+9
1575,5,3,0,19,59,-2
1576,4,4,0,12.5,67.5,+18
1596,4,4,0,13,61,-23
1597,3,5,0,15.5,59.5,-73
1609,1,6,1,15.5,58.5,-19
1669,2,5,1,14.5,64.5,-9
