Team #,Wins,Losses,Ties,CS,OCS,PD
1022,4,4,0,10.5,64.5,+69
1092,5,3,0,19,62.5,+16
1093,4,4,0,19,62,+60
1103,3,5,0,13,83.5,+83
1109,7,1,0,15,67.5,+30
1110,7,1,0,20.5,68.5,+19
1132,5,3,0,15,57,-4
1133,2,6,0,14,80,+61
1194,8,0,0,19.5,65,+2
1196,3,5,0,16.5,81,+23
1274,6,1,1,16,63.5,+35
1275,5,3,0,21.5,57.5,-45
1310,3,5,0,13,60,-9
1311,4,4,0,24.5,63,-5
1351,3,5,0,18,63.5,+70
1352,4,4,0,9,51,-186
1400,1,7,0,13,57,-184
1408,2,6,0,17,61.5,+78
1419,4,4,0,12,54,-18
1484,2,6,0,15,55.5,-289
1493,0,8,0,18.5,70.5,+45
1498,6,2,0,18.5,69,-6
1527,4,3,1,11,58.5,+32
