Team #,Wins,Losses,Ties,CS,OCS,PD
1042,1,7,0,19,57.5,-213
1092,6,2,0,12.5,62,+124
1119,6,2,0,10.5,76.5,+121
1120,4,3,1,18,64.5,-15
1133,5,3,0,16,70,+50
1135,3,4,1,16,65,-7
1158,2,5,1,12.5,64.5,-20
1281,2,5,1,20.5,62.5,-86
1282,1,7,0,15.5,56.5,-154
1316,5,3,0,15.5,68,+54
1317,4,4,0,16,60.5,+16
1364,3,4,1,16,63.5,+31
1365,3,5,0,16,60,-45
1459,1,7,0,14.5,61.5,-144
1523,7,1,0,12,67.5,+119
1530,6,1,1,20,61,+72
1531,5,2,1,17,67.5,+50
1544,2,6,0,18.5,55.5,-23
1553,6,1,1,14,77.5,+143
1554,7,1,0,15,67.5,+111
1593,1,7,0,23.5,50,-206
1801,4,4,0,13.5,69,+22
