Team #,Wins,Losses,Ties,CS,OCS,PD
1105,3,5,0,15.5,58,-10
1176,3,4,1,20,61,-3
1177,1,7,0,17.5,56.5,-43
1233,7,1,0,21.5,64,+54
1234,4,4,0,15.5,61,-20
1235,3,4,1,21,62.5,+4
1237,5,3,0,16,62.5,+23
1279,2,6,0,17,62,-48
1341,5,3,0,15.5,64.5,+54
1342,5,3,0,15,67,+68
1343,4,4,0,16.5,69,+13
1353,4,3,1,17,65,+29
1354,5,3,0,17.5,60.5,+51
1355,4,3,1,13.5,72,+32
1435,2,6,0,14,60,-36
1470,7,1,0,19.5,76.5,+46
1471,7,1,0,15,70.5,+19
1472,6,1,1,12,69.5,+26
1473,4,4,0,12,65.5,-28
1502,2,5,1,14.5,64,-5
1643,2,6,0,12,61.5,-43
1711,0,8,0,14,55,-183
