Team #,Wins,Losses,Ties,CS,OCS,PD
1065,7,1,0,15,74.5,+67
1112,2,5,1,19.5,56.5,-36
1162,1,7,0,21.5,46,-111
1231,5,3,0,15.5,68.5,+35
1232,3,5,0,17.5,64,-9
1257,0,8,0,12.5,57.5,-110
1305,6,2,0,9,72.5,+94
1310,2,6,0,17,52,-40
1311,2,5,1,11.5,60,-19
1418,6,2,0,20,69.5,+40
1419,6,2,0,15,72,+24
1474,4,4,0,12,67.5,-29
1525,5,3,0,14.5,69,+77
1526,4,4,0,17,60.5,-5
1533,3,5,0,20.5,64,+15
1534,4,4,0,18,65,-2
1550,4,4,0,16.5,66.5,0
1551,6,1,1,10.5,76.5,+38
1623,4,4,0,15.5,63.5,+8
1660,2,6,0,21,60.5,-38
1668,7,1,0,18,65,+54
1731,3,4,1,14.5,57,-53
