Team #,Wins,Losses,Ties,CS,OCS,PD
1122,6,2,0,17.5,63.5,+39
1140,0,8,0,15.5,56,-184
1145,4,4,0,14,62.5,+4
1170,7,1,0,15,73.5,+55
1193,3,4,1,15.5,64,+2
1194,3,4,1,20.5,64.5,+14
1205,7,1,0,17,64,+67
1206,3,4,1,12.5,67,-23
1219,5,3,0,21.5,64.5,+10
1220,4,4,0,12,68,+5
1286,5,3,0,15.5,65.5,+63
1320,6,2,0,15.5,82,+51
1322,5,3,0,14.5,65,+16
1335,6,2,0,14.5,75.5,+13
1336,1,6,1,18,62.5,-77
1360,4,4,0,16.5,66.5,+5
1361,3,5,0,10.5,75.5,+23
1387,1,7,0,15,53.5,-63
1433,5,3,0,14,68,+14
1439,2,6,0,13.5,59,-45
1489,6,1,1,16,78,+50
1505,3,5,0,15.5,60.5,-6
1515,3,4,1,20,66.5,-37
1516,4,4,0,19,54.5,+6
1577,5,3,0,17.5,58,+81
1579,5,2,1,19,71,+58
1586,2,6,0,18.5,53,-45
1648,4,4,0,14.5,60,-8
1649,3,5,0,22.5,57,-27
1650,2,5,1,15.5,54.5,-76
1699,2,6,0,16,51,-30
1801,5,3,0,9.5,63.5,+45
