Team #,Wins,Losses,Ties,CS,OCS,PD
1027,4,4,0,12,68.5,-10
1037,6,1,1,17.5,67,+23
1159,4,2,2,11.5,72.5,+49
1160,6,1,1,12,75,-18
1161,3,5,0,18,67.5,+21
1181,4,2,2,21.5,61,-41
1182,3,5,0,18.5,60,+14
1193,4,4,0,15,58.5,+4
1194,4,4,0,14,75.5,+3
1195,4,4,0,19,60,+9
1214,5,3,0,17.5,63,+22
1215,5,3,0,19.5,73,+38
1285,8,0,0,14.5,65.5,+40
1287,6,1,1,18.5,67,-3
1335,4,3,1,17.5,49.5,-56
1336,3,5,0,15,54.5,-70
1356,1,7,0,7.5,65.5,-83
1412,1,6,1,15.5,53.5,-54
1611,2,6,0,16.5,68,+7
1660,1,6,1,13.5,49.5,-6
1678,5,3,0,21.5,52,-51
1680,2,6,0,15,62.5,-67
