Team #,Wins,Losses,Ties,CS,OCS,PD
1041,7,1,0,19,74,+54
1042,6,2,0,12,67,+13
1108,1,6,1,13.5,52.5,-59
1144,5,3,0,19,67.5,+12
1187,4,4,0,19,66.5,-3
1198,2,4,2,21,65.5,-11
1223,6,2,0,18,74.5,+47
1224,4,4,0,19,64.5,+42
1254,4,4,0,11,65,+12
1255,3,5,0,19,56,-60
1263,3,3,2,19.5,73,+1
1264,2,6,0,14,60.5,-33
1272,2,6,0,18,56,-64
1341,5,2,1,13,69,+67
1342,4,4,0,18,67,+2
1343,4,4,0,21,59.5,-35
1344,2,6,0,13.5,56,-61
1374,3,4,1,10.5,67,+3
1435,4,4,0,17,59.5,-7
1470,4,4,0,11.5,60,-6
1499,0,8,0,14,47,-101
1529,6,2,0,16,74,+94
1530,7,0,1,14,80.5,+89
1592,6,2,0,18,63,+92
1687,4,4,0,17.5,56.5,-27
1707,2,6,0,10,62.5,-61
