Team #,Wins,Losses,Ties,CS,OCS,PD
1019,2,6,0,16,57,-141
1118,4,4,0,18.5,61.5,+50
1119,3,5,0,22,62.5,-8
1122,0,8,0,10.5,52,-112
1180,6,2,0,16.5,67.5,+35
1250,5,2,1,17.5,69,+52
1252,3,5,0,19,56,-27
1277,4,4,0,15,68.5,+47
1314,8,0,0,13,75.5,+98
1315,1,5,2,14,58.5,-44
1318,2,6,0,15,62.5,-42
1326,4,4,0,18,62.5,-2
1327,3,5,0,15.5,64.5,-35
1400,3,5,0,14,63.5,-27
1449,5,3,0,18.5,61.5,+31
1450,1,6,1,19.5,69,-51
1460,4,3,1,18.5,59,+72
1462,6,2,0,14.5,74,+19
1464,5,3,0,20.5,65,+14
1465,3,5,0,13.5,60,-7
1521,4,3,1,16.5,61.5,-35
1535,6,1,1,15.5,74.5,+50
1536,8,0,0,8.5,58,-37
